all_planet_names,Light_Years_From_Earth,Planet_Mass,Stellar_Magnitude,Discovery_Date,visibility_from_naked_eyes
MWC 758 c,159.537,,8.270001,2023,not visible
TOI-198 b,23.7262,2.67,11.688,2023,not visible
TOI-2095 b,41.9176,4.1,13.19,2023,not visible
TOI-2095 c,41.9176,7.4,13.19,2023,not visible
TOI-4860 b,80.1423,354.9,16.47,2023,not visible
HD 112300 b,62.07324,20579.0,3.39515,2023,visible
HN Librae b,6.24442,5.46,11.311,2023,not visible
GJ 367 c,9.41263,4.13,10.153,2023,not visible
TOI-622 b,123.297,393.9,8.995,2023,not visible
DMPP-4 b,25.3284,12.2,5.72936,2023,visible
TOI-3984 A b,108.883,182.0,15.694,2023,not visible
TOI-5293 A b,162.229,702.0,16.19,2023,not visible
TOI-2641 b,344.045,501.8,11.693,2023,not visible
TOI-2084 b,114.549,6.66,15.115,2023,not visible
TOI-3785 b,79.7634,14.95,14.595,2023,not visible
TOI-615 b,360.408,565.5,10.825,2023,not visible
TOI-4184 b,69.3649,6.48,17.12,2023,not visible
HD 150010 b,144.49,3120.0,6.2893,2022,not visible
TOI-1246 d,169.422,5.3,11.632,2022,not visible
HIP 94235 b,58.5146,1550.211,8.31,2022,not visible
TYC 2187-512-1 b,15.4744,429.0,10.58,2022,not visible
HD 260655 c,10.0055,3.09,9.63,2022,not visible
HD 260655 b,10.0055,2.14,9.63,2022,not visible
HD 19615 b,265.155,11050.0,6.55594,2022,not visible
Gaia-2 b,209.229,1062.1,11.277,2022,not visible
TOI-1246 e,169.422,14.8,11.632,2022,not visible
TOI-1227 b,100.641,271.7,16.999,2022,not visible
TOI-1107 b,281.314,4355.0,10.553,2022,not visible
HD 174205 b,234.027,5460.0,6.28209,2022,not visible
HD 28109 b,139.611,18.496,9.42,2022,not visible
HD 28109 c,139.611,7.943,9.42,2022,not visible
TOI-1696 b,64.9172,199.602,16.82,2022,not visible
HD 191939 f,53.6089,2699.567,8.97,2022,not visible
HD 28109 d,139.611,5.681,9.42,2022,not visible
HD 191939 e,53.6089,458.926,8.97,2022,not visible
HD 83443 c,40.8991,1950.0,8.23,2022,not visible
Ross 508 b,11.2103,4.0,14.18,2022,not visible
TOI-2046 b,289.668,2990.0,11.552,2022,not visible
Gaia-1 b,363.66,2184.0,13.242,2022,not visible
TOI-2136 b,33.3631,6.37,14.32,2022,not visible
TOI-1246 b,169.422,8.1,11.632,2022,not visible
Pi Mensae d,18.2874,13.38,5.666,2022,visible
Iota Draconis c,31.32832,20280.0,3.29668,2022,visible
Kepler-451 d,396.332,2288.0,12.651,2022,not visible
Kepler-451 c,396.332,2093.0,12.651,2022,not visible
GJ 514 b,7.61778,5.2,9.05,2022,not visible
TOI-620 b,33.0231,13.6,12.262,2022,not visible
AB Aurigae b,162.127,11700.0,7.076,2022,not visible
TOI-3714 b,112.71,910.0,15.7,2022,not visible
HD 103891 b,55.5213,3757.0,6.59451,2022,not visible
WASP-132 c,122.91,37.35,11.938,2022,not visible
HD 105779 b,55.2411,832.0,8.65,2022,not visible
TOI-1710 b,81.2271,18.4,9.545,2022,not visible
TOI-500 c,47.3924,5.03,10.54,2022,not visible
TOI-500 d,47.3924,33.12,10.54,2022,not visible
TOI-500 e,47.3924,15.05,10.54,2022,not visible
Kepler-1656 c,185.875,520.0,11.64,2022,not visible
TOI-1181 b,302.819,1534.0,10.582,2022,not visible
TOI-1516 b,247.054,4108.0,10.858,2022,not visible
TOI-1246 c,169.422,8.8,11.632,2022,not visible
HD 33142 d,121.375,260.0,7.96,2022,not visible
TOI-2236 b,355.59,2054.0,11.6,2022,not visible
TOI-2081 b,62.3446,4.82,13.369,2022,not visible
TOI-3540 A b,375.66436461446,1534.0,11.514,2022,not visible
TOI-3331 A b,217.193,2951.0,11.635,2022,not visible
TOI-3693 b,176.436,1326.0,11.948,2022,not visible
HD 11505 b,38.9679,10268.7,7.43,2022,not visible
HD 11112 b,44.3804,10628.8,7.13,2022,not visible
HD 109988 b,42.5279,28367.3,8.9,2022,not visible
TOI-4137 b,334.993,1872.0,11.31,2022,not visible
TOI-1670 b,168.067,169.0,9.889,2022,not visible
TOI-2048 b,116.567,7.32,11.431,2022,not visible
TOI-3757 b,181.139,348.894,14.812,2022,not visible
TOI-3629 b,130.091,338.0,14.639,2022,not visible
TOI-712 b,58.6212,4.85,10.838,2022,not visible
TOI-712 c,58.6212,7.76,10.838,2022,not visible
TOI-712 d,58.6212,6.68,10.838,2022,not visible
TOI-1452 b,30.5212,4.82,14.354,2022,not visible
GJ 3090 b,22.4751,3.34,11.403,2022,not visible
GJ 896 A b,6.26022,2938.0,10.05,2022,not visible
HD 56414 b,272.217,13.3,9.217,2022,not visible
LP 890-9 b,32.4298,13.2,18.0,2022,not visible
TOI-2570 b,361.857,1066.0,12.569,2022,not visible
TOI-2567 b,504.775,261.3,12.3,2022,not visible
TOI-2421 b,327.927,432.9,11.419,2022,not visible
